ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20201013,26.8,1.0845,1.04,40.0045,6.3397,10.3126,649141.56,456959.43
300590.SZ,20201012,26.82,1.4457,1.56,40.0343,6.3444,10.3203,649625.994,457300.4445
300590.SZ,20201009,25.91,1.0646,1.08,38.676,6.1291,9.9701,627584.247,441784.2848
300590.SZ,20200930,25.18,0.7965,0.74,37.5863,5.9565,9.6892,609902.406,429337.2555
300590.SZ,20200929,25.35,0.9392,0.81,37.84,5.9967,9.7546,614020.095,432235.8788
300590.SZ,20200928,25.08,0.9748,0.76,37.437,5.9328,9.6507,607480.236,427632.183
300590.SZ,20200925,25.88,0.856,0.55,38.6312,6.122,9.9586,626857.596,441272.763
300590.SZ,20200924,25.93,1.3528,0.82,38.7058,6.1339,9.9778,628068.681,442125.2993
300590.SZ,20200923,26.77,1.2761,0.73,39.9597,6.3326,10.301,648414.909,456447.9083
300590.SZ,20200922,26.5,1.3165,0.73,39.5567,6.2687,10.1971,641875.05,451844.2125
300590.SZ,20200921,27.29,1.6366,0.86,40.7359,6.4556,10.5011,661010.193,465314.2853
300590.SZ,20200918,27.72,2.1526,1.08,41.3777,6.5573,10.6666,671425.524,472646.097
300590.SZ,20200917,26.91,1.8881,0.73,40.1687,6.3657,10.3549,651805.947,458835.0098
300590.SZ,20200916,26.23,1.7587,0.57,39.1536,6.2048,10.0932,635335.191,447240.5168
300590.SZ,20200915,27.1,1.5689,0.41,40.4523,6.4106,10.428,656408.07,462074.6475
300590.SZ,20200914,27.2,2.1789,0.5,40.6015,6.4343,10.4665,658830.24,463779.72
300590.SZ,20200911,26.77,2.3363,0.52,39.9597,6.3326,10.301,648414.909,456447.9083
300590.SZ,20200910,26.75,5.0156,1.22,39.9298,6.3278,10.2933,647930.475,456106.8938
300590.SZ,20200909,30.16,4.4419,1.04,45.0199,7.1345,11.6055,730526.472,514249.866
300590.SZ,20200908,32.1,4.9556,1.35,47.9158,7.5934,12.352,777516.57,547328.2725
300590.SZ,20200907,31.24,5.0159,1.51,46.6321,7.39,12.0211,756685.908,532664.649
300590.SZ,20200904,30.8,2.9116,0.88,45.9753,7.2859,11.8518,746028.36,525162.33
300590.SZ,20200903,30.3,3.1866,1.08,45.2289,7.1676,11.6594,733917.51,516636.9675
300590.SZ,20200902,31.01,5.3046,2.25,46.2887,7.3356,11.9326,751114.917,528742.9823
300590.SZ,20200901,29.8,1.8908,0.75,44.4826,7.0493,11.467,721806.66,508111.605
300590.SZ,20200831,29.68,3.2941,1.45,44.3034,7.021,11.4208,718900.056,506065.518
300590.SZ,20200828,28.89,2.7785,1.37,43.1242,6.8341,11.1168,699764.913,492595.4453
300590.SZ,20200827,29.19,1.515,0.75,43.572,7.0695,11.2322,707031.423,497710.6628
300590.SZ,20200826,28.8,2.3294,1.19,42.9899,6.975,11.0822,697584.96,491060.88
300590.SZ,20200825,30.0,2.6178,1.35,44.7811,7.2657,11.5439,726651.0,511521.75
300590.SZ,20200824,29.5,2.1033,1.06,44.0348,7.1446,11.3515,714540.15,502996.3875
300590.SZ,20200821,28.8,1.5527,0.77,42.9899,6.975,11.0822,697584.96,491060.88
300590.SZ,20200820,28.97,1.4477,0.72,43.2436,7.0162,11.1476,701702.649,493959.5033
300590.SZ,20200819,28.95,2.0934,1.02,43.2138,7.0114,11.1399,701218.215,493618.4888
300590.SZ,20200818,29.79,2.4928,1.27,44.4676,7.2148,11.4631,721564.443,507941.0978
300590.SZ,20200817,29.53,2.3103,1.21,44.0795,7.1518,11.3631,715266.801,503507.9093
300590.SZ,20200814,29.3,1.7585,0.84,43.7362,7.0961,11.2746,709695.81,499586.2425
300590.SZ,20200813,28.43,1.3781,0.57,42.4376,6.8854,10.9398,688622.931,484752.1118
300590.SZ,20200812,28.6,2.29,0.93,42.6913,6.9266,11.0052,692740.62,487650.735
300590.SZ,20200811,29.06,2.0669,0.77,43.378,7.038,11.1822,703882.602,495494.0685
300590.SZ,20200810,29.74,2.0818,0.68,44.393,7.2027,11.4439,720353.358,507088.5615
300590.SZ,20200807,29.68,2.6555,0.86,44.3034,7.1882,11.4208,718900.056,506065.518
300590.SZ,20200806,30.76,2.9583,0.98,45.9156,7.4497,11.8364,745059.492,524480.301
300590.SZ,20200805,31.36,2.5374,0.84,46.8112,7.595,12.0672,759592.512,534710.736
300590.SZ,20200804,31.09,3.1609,1.13,46.4082,7.5296,11.9634,753052.653,530107.0403
300590.SZ,20200803,31.88,3.8994,1.55,47.5874,7.721,12.2673,772187.796,543577.113
