ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
688080.SH,20220706,38.82,1.7778,1.24,19.3931,2.7377,4.5275,203528.5473,146641.7193
688080.SH,20220705,38.02,1.4669,1.02,18.9935,2.6813,4.4342,199334.2444,143619.7364
688080.SH,20220704,39.12,1.1526,0.79,19.543,2.7589,4.5625,205101.4108,147774.9628
688080.SH,20220701,39.3,1.3229,0.85,19.6329,2.7716,4.5835,206045.129,148454.909
688080.SH,20220630,40.09,1.731,1.17,20.0276,2.8273,4.6756,210187.0031,151439.1171
688080.SH,20220629,40.57,1.4945,1.02,20.2674,2.8612,4.7316,212703.5848,153252.3068
688080.SH,20220628,41.46,1.4608,1.01,20.712,2.9239,4.8354,217369.7468,156614.2628
688080.SH,20220627,40.67,1.3263,0.93,20.3173,2.8402,4.7432,213227.8727,153630.0547
688080.SH,20220624,41.06,1.7736,1.35,20.5122,2.8674,4.7887,215272.5953,155103.2713
688080.SH,20220623,41.01,1.3361,0.94,20.4872,2.8639,4.7829,215010.4514,154914.3974
688080.SH,20220622,39.71,1.4066,0.94,19.8377,2.7731,4.6313,208194.7092,150003.6752
688080.SH,20220621,40.78,1.4062,0.86,20.3723,2.8478,4.7561,213804.5893,154045.5773
688080.SH,20220620,41.81,1.2287,0.73,20.8868,2.9198,4.8762,219204.7543,157936.3803
688080.SH,20220617,41.8,1.1774,0.64,20.8818,2.9191,4.875,219152.3255,157898.6055
688080.SH,20220616,41.38,1.8623,1.01,20.672,2.8897,4.8261,216950.3165,156312.0645
688080.SH,20220615,40.54,1.836,0.91,20.2524,2.8311,4.7281,212546.2984,153138.9824
688080.SH,20220614,40.36,2.0467,0.97,20.1625,2.8185,4.7071,211602.5803,152459.0363
688080.SH,20220613,41.81,1.509,0.48,20.8868,2.9198,4.8762,219204.7543,157936.3803
688080.SH,20220610,41.55,1.9224,0.56,20.7569,2.9016,4.8459,217841.6058,156954.2358
688080.SH,20220609,40.57,1.862,0.53,20.2674,2.8332,4.7316,212703.5848,153252.3068
688080.SH,20220608,42.68,2.7207,0.78,21.3215,2.9805,4.9777,223766.0586,161222.7866
688080.SH,20220607,42.99,2.533,0.77,21.4763,3.0022,5.0138,225391.351,162393.805
688080.SH,20220606,44.3,6.5272,2.7,22.1308,3.0937,5.1666,232259.522,167342.302
688080.SH,20220602,43.71,3.4416,1.58,21.836,3.0525,5.0978,229166.2236,165113.5896
688080.SH,20220601,40.45,2.4741,1.12,20.2074,2.8248,4.7176,212074.4394,152799.0094
688080.SH,20220531,39.12,2.4646,0.97,19.543,2.7319,4.5625,205101.4108,147774.9628
688080.SH,20220530,37.84,1.6376,0.55,18.9036,2.6425,4.4132,198390.5262,142939.7902
688080.SH,20220527,37.09,2.0709,0.74,18.5289,2.5902,4.3257,194458.3673,140106.6813
688080.SH,20220526,37.23,2.2245,0.84,18.5988,2.5999,4.342,195192.3703,140635.5283
688080.SH,20220525,37.98,2.6858,1.17,18.9735,2.6523,4.4295,199124.5292,143468.6372
688080.SH,20220524,38.57,4.1177,2.42,19.2682,2.6935,4.4983,202217.8276,145697.3496
688080.SH,20220523,42.21,3.8473,3.27,21.0867,2.9477,4.9229,221301.9057,159447.3717
688080.SH,20220520,38.05,1.2001,1.01,19.0085,2.6572,4.4377,199491.5307,143733.0607
688080.SH,20220519,38.28,1.368,1.12,19.1234,2.6733,4.4645,200697.3928,144601.8808
688080.SH,20220518,37.9,0.9621,0.67,18.9335,2.6467,4.4202,198705.0989,143166.4389
688080.SH,20220517,37.43,1.113,0.76,18.6987,2.6139,4.3654,196240.946,141391.024
688080.SH,20220516,37.41,1.233,0.83,18.6887,2.6125,4.363,196136.0884,141315.4744
688080.SH,20220513,37.53,1.2368,0.84,18.7487,2.6209,4.377,196765.2339,141768.7719
688080.SH,20220512,38.05,1.5666,0.96,19.0085,2.6572,4.4377,199491.5307,143733.0607
688080.SH,20220511,37.2,1.9788,1.23,18.5838,2.5978,4.3386,195035.0839,140522.2039
688080.SH,20220510,36.82,1.3276,0.69,18.394,2.5713,4.2942,193042.7901,139086.7621
688080.SH,20220509,36.02,1.2904,0.58,17.9943,2.5154,4.2009,188848.4872,136064.7792
688080.SH,20220506,35.52,1.1934,0.44,17.7446,2.4805,4.1426,186227.0479,134176.0399
688080.SH,20220505,35.79,2.3703,0.86,17.8794,2.4994,4.1741,187642.6251,135195.9591
688080.SH,20220429,36.08,1.8922,0.72,18.0243,2.5196,4.2079,189163.0599,136291.4279
688080.SH,20220428,34.85,2.9088,1.31,17.4099,2.4337,4.0645,182714.3192,131645.1292
688080.SH,20220427,35.48,2.7564,1.52,17.7246,2.4777,4.138,186017.3327,134024.9407
