api_name,scope,status,row_count,min_date,max_date,field_count,fields,message
anns_d,移为通信:300590.SZ,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,移远通信:603236.SH,ok,1675,20190716,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,移远通信:603236.SH,ok,1675,20190716,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,移远通信:603236.SH,ok,1675,20190716,20260612,3,"ts_code,trade_date,adj_factor",
income,移远通信:603236.SH,ok,44,20190829,20260424,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,移远通信:603236.SH,ok,38,20190829,20260424,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,移远通信:603236.SH,ok,47,20190829,20260424,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,移远通信:603236.SH,ok,46,20191031,20260424,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,移远通信:603236.SH,ok,16,20210130,20250711,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,移远通信:603236.SH,ok,2,20220308,20230413,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,移远通信:603236.SH,ok,30,20190829,20260424,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,移远通信:603236.SH,ok,23,20230822,20241112,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,移远通信:603236.SH,ok,504,20190802,20260612,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,移远通信:603236.SH,ok,32,20190829,20260424,4,"ts_code,ann_date,end_date,holder_num",
anns_d,移远通信:603236.SH,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,高新兴:300098.SZ,ok,3636,20100728,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,高新兴:300098.SZ,ok,3636,20100728,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,高新兴:300098.SZ,ok,3854,20100728,20260612,3,"ts_code,trade_date,adj_factor",
income,高新兴:300098.SZ,ok,83,20101026,20260429,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,高新兴:300098.SZ,ok,97,20101026,20260429,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,高新兴:300098.SZ,ok,80,20101026,20260429,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,高新兴:300098.SZ,ok,100,20121025,20260429,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,高新兴:300098.SZ,ok,68,20120131,20260131,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,高新兴:300098.SZ,ok,11,20110225,20210415,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,高新兴:300098.SZ,ok,33,20110331,20260418,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,高新兴:300098.SZ,ok,86,20140410,20241029,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,高新兴:300098.SZ,ok,632,20140307,20260612,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,高新兴:300098.SZ,ok,182,20101026,20260429,4,"ts_code,ann_date,end_date,holder_num",
anns_d,高新兴:300098.SZ,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,广和通:300638.SZ,ok,2219,20170413,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,广和通:300638.SZ,ok,2219,20170413,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,广和通:300638.SZ,ok,2226,20170413,20260612,3,"ts_code,trade_date,adj_factor",
income,广和通:300638.SZ,ok,56,20170428,20260424,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,广和通:300638.SZ,ok,53,20170428,20260424,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,广和通:300638.SZ,ok,56,20170428,20260424,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
