ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
002151.SZ,20210716,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210709,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210702,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210625,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210618,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210611,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210604,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210528,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210521,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210514,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210507,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210430,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210423,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210416,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210409,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210402,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210326,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210319,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210312,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210305,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210226,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210219,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210210,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210205,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210129,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210122,1,0.2,0.0,50773.0,0.0
002151.SZ,20210122,1,0.2,0.0,50773.0,0.0
002151.SZ,20210115,1,0.2,0.0,50773.0,0.0
002151.SZ,20210115,1,0.2,0.0,50773.0,0.0
002151.SZ,20210108,1,0.2,0.0,50773.0,0.0
002151.SZ,20210108,1,0.2,0.0,50773.0,0.0
002151.SZ,20201231,1,0.2,0.0,50773.0,0.0
002151.SZ,20201231,1,0.2,0.0,50773.0,0.0
002151.SZ,20201225,1,0.2,0.0,50773.0,0.0
002151.SZ,20201225,1,0.2,0.0,50773.0,0.0
